"pacto2","Número Distrito...7","Comuna","n_candidatos","votos","totalvotos","votos_w","pactoid","p_candidatos","votos_w2","total_w","indice_electoral"
"Apruebo Dignidad",1,"ARICA",5,9180,1071654,78.6376946290501,"Apruebo Dignidad1",0.0292397660818713,2.29934779617105,644.539603425724,0.00356742670884774
"Apruebo Dignidad",1,"CAMARONES",5,114,1071654,0.0121270484690021,"Apruebo Dignidad1",0.0292397660818713,0.000354592060497138,644.539603425724,5.50147824295797e-07
"Apruebo Dignidad",1,"GENERAL LAGOS",5,12,1071654,0.000134371728188389,"Apruebo Dignidad1",0.0292397660818713,3.9289979002453e-06,644.539603425724,6.09582076782047e-09
"Apruebo Dignidad",1,"PUTRE",5,83,1071654,0.00642838080201259,"Apruebo Dignidad1",0.0292397660818713,0.000187964350936041,644.539603425724,2.91625758816078e-07
"Apruebo Dignidad",2,"ALTO HOSPICIO",6,3189,1071654,9.48974295808162,"Apruebo Dignidad2",0.0350877192982456,0.332973437125671,644.539603425724,0.0005166066372895
"Apruebo Dignidad",2,"CAMIÑA",6,30,1071654,0.000839823301177432,"Apruebo Dignidad2",0.0350877192982456,2.94674842518397e-05,644.539603425724,4.57186557586535e-08
"Apruebo Dignidad",2,"COLCHANE",6,6,1071654,3.35929320470973e-05,"Apruebo Dignidad2",0.0350877192982456,1.17869937007359e-06,644.539603425724,1.82874623034614e-09
"Apruebo Dignidad",2,"HUARA",6,351,1071654,0.114963411698179,"Apruebo Dignidad2",0.0350877192982456,0.00403380391923434,644.539603425724,6.25842678680208e-06
"Apruebo Dignidad",2,"IQUIQUE",6,13886,1071654,179.928405996712,"Apruebo Dignidad2",0.0350877192982456,6.31327740339339,644.539603425724,0.0097950185990719
"Apruebo Dignidad",2,"PICA",6,393,1071654,0.144122076715059,"Apruebo Dignidad2",0.0350877192982456,0.00505691497245822,644.539603425724,7.84577851474253e-06
"Apruebo Dignidad",2,"POZO ALMONTE",6,785,1071654,0.575022348631181,"Apruebo Dignidad2",0.0350877192982456,0.0201762227589888,644.539603425724,3.13033096054181e-05
"Apruebo Dignidad",3,"ANTOFAGASTA",6,14611,1071654,199.207319713266,"Apruebo Dignidad3",0.0350877192982456,6.98973051625494,644.539603425724,0.0108445322507796
"Apruebo Dignidad",3,"CALAMA",6,6150,1071654,35.2935742319816,"Apruebo Dignidad3",0.0350877192982456,1.23837102568356,644.539603425724,0.00192132650825741
"Apruebo Dignidad",3,"MARIA ELENA",6,199,1071654,0.0369531583888083,"Apruebo Dignidad3",0.0350877192982456,0.00129660204873012,644.539603425724,2.01167165188715e-06
"Apruebo Dignidad",3,"MEJILLONES",6,722,1071654,0.486429388589974,"Apruebo Dignidad3",0.0350877192982456,0.0170676978452622,644.539603425724,2.64804486094377e-05
"Apruebo Dignidad",3,"OLLAGUE",6,22,1071654,0.000451638308633197,"Apruebo Dignidad3",0.0350877192982456,1.5846958197656e-05,644.539603425724,2.45864770968759e-08
"Apruebo Dignidad",3,"SAN PEDRO DE ATACAMA",6,158,1071654,0.0232948321006594,"Apruebo Dignidad3",0.0350877192982456,0.000817362529847697,644.539603425724,1.26813391373225e-06
"Apruebo Dignidad",3,"SIERRA GORDA",6,153,1071654,0.021843804063625,"Apruebo Dignidad3",0.0350877192982456,0.000766449265390351,644.539603425724,1.18914223628258e-06
