"pacto";"comuna";"votacion";"n_candidatos";"p_votacion";"voto_w";"p_candidatos";"voto_w2";"no_pobres";"pobres";"p_pobreza"
"Apruebo Dignidad";"ALGARROBO";1305;8;0,00369565740742689;4,82283291669209;0,00377714825306893;0,0182165549261269;14289;1036;0,0676019575856444
"Apruebo Dignidad";"ALHUE";604;6;0,00171048051654087;1,03313023199069;0,0028328611898017;0,00292671453821725;3768;449;0,106473796537823
"Apruebo Dignidad";"ALTO BIOBIO";37;5;0,000104781091245054;0,00387690037606698;0,00236071765816808;9,15226717673981e-06;4962;4414;0,470776450511945
"Apruebo Dignidad";"ALTO DEL CARMEN";158;3;0,000447443578830229;0,0706960854551762;0,00141643059490085;0,000100136098378436;3020;971;0,243297419193185
"Apruebo Dignidad";"ALTO HOSPICIO";2055,124;6;0,00581994960442972;11,960718110854;0,0028328611898017;0,0338830541383966;89453;31601;0,261048788144134
"Apruebo Dignidad";"ANCUD";919;6;0,00260253575281633;2,39173035683821;0,0028328611898017;0,00677544010435753;31751;7804;0,197294905827329
"Apruebo Dignidad";"ANDACOLLO";733;6;0,00207579837520606;1,52156020902604;0,0028328611898017;0,00431036886409644;5200;1402;0,212359890942139
"Apruebo Dignidad";"ANGOL";675;1;0,00191154693487598;1,29029418104128;0,000472143531633617;0,000609204051483137;39077;8438;0,177586025465642
"Apruebo Dignidad";"ANTOFAGASTA";979,651;6;0,00277429461673805;2,71784049558205;0,0028328611898017;0,00769926486000581;303178;59246;0,163471514027769
"Apruebo Dignidad";"ANTUCO";234;5;0,000662669604090339;0,155064687357139;0,00236071765816808;0,000366063945602312;2709;561;0,171559633027523
"Apruebo Dignidad";"ARAUCO";1291,695;5;0,00365797869339945;4,7249927883706;0,00236071765816808;0,0111543739102233;38500;7325;0,159847244953628
"Apruebo Dignidad";"ARICA";947,231;5;0,00268248372543631;2,54093174172876;0,00236071765816808;0,00599842243089886;117785;30621;0,20633262806086
"Apruebo Dignidad";"AYSEN";947,231;5;0,00268248372543631;2,54093174172876;0,00236071765816808;0,00599842243089886;21427;5030;0,190119817061647
"Apruebo Dignidad";"BUIN";1672,339;6;0,00473593257707194;7,92008475000791;0,0028328611898017;0,0224365007082377;54389;18926;0,258146354770511
"Apruebo Dignidad";"BULNES";841;6;0,00238164588478622;2,00296418910521;0,0028328611898017;0,00567411951587878;14460;4906;0,253330579365899
"Apruebo Dignidad";"CABILDO";901,316;9;0,00255245605504397;2,30056948170801;0,00424929178470255;0,00977579099875924;16783;4286;0,203426835635294
"Apruebo Dignidad";"CABRERO";1295;5;0,00366733819357688;4,74920296068205;0,00236071765816808;0,0112115272915063;28579;3080;0,0972867115196311
"Apruebo Dignidad";"CALAMA";1913,258;6;0,0054181962452251;10,3664073117469;0,0028328611898017;0,0293665929511243;112955;14120;0,111115482982491
"Apruebo Dignidad";"CALBUCO";1576;6;0,00446310810276228;7,03385836995336;0,0028328611898017;0,0199259443908027;21662;14553;0,401850062128952
"Apruebo Dignidad";"CALDERA";1057;3;0,00299334090394653;3,16396133547148;0,00141643059490085;0,00448153163664516;10483;3320;0,24052742157502
"Apruebo Dignidad";"CALERA";2839;9;0,00803982481201911;22,8250626413223;0,00424929178470255;0,0969903511670917;44381;10724;0,194610289447419
"Apruebo Dignidad";"CALERA DE TANGO";1469,299;6;0,00416093925906124;6,11366389239942;0,0028328611898017;0,0173191611682703;24769;6726;0,213557707572631
"Apruebo Dignidad";"CALLE LARGA";588;9;0,00166516977438085;0,979119827335941;0,00424929178470255;0,00416056583853799;9204;1216;0,116698656429942
"Apruebo Dignidad";"CAMARONES";112;5;0,000317175195120162;0,0355236218534582;0,00236071765816808;8,38612413915443e-05;613;832;0,575778546712803
"Apruebo Dignidad";"CAMINA";30;6;8,49576415500434e-05;0,0025487292465013;0,0028328611898017;7,22019616572607e-06;367;379;0,508042895442359
"Apruebo Dignidad";"CANELA";1013;6;0,00286873636300647;2,90602993572555;0,0028328611898017;0,00823237942131884;3935;3299;0,456040917887752
"Apruebo Dignidad";"CANETE";414,462;5;0,00117372380107047;0,486463914039269;0,00236071765816808;0,00114840395193406;28604;5588;0,163430042115115
"Apruebo Dignidad";"CARAHUE";375;5;0,00106197051937554;0,398238944765829;0,00236071765816808;0,000940129709078916;11938;10887;0,47697699890471
"Apruebo Dignidad";"CARTAGENA";1829;8;0,00517958421316765;9,47345952588363;0,00377714825306893;0,0357826610987106;26667;2610;0,0891484783276975
"Apruebo Dignidad";"CASABLANCA";661,26;8;0,00187263633504606;1,23829950291256;0,00377714825306893;0,00467724080420229;30151;2925;0,0884327004474544
"Apruebo Dignidad";"CASTRO";967;6;0,0027384679792964;2,64809853597962;0,0028328611898017;0,00750169556934736;45636;10864;0,192283185840708
"Apruebo Dignidad";"CATEMU";434;9;0,00122905388109063;0,533409384393333;0,00424929178470255;0,00226661211498583;10387;2289;0,180577469233197
"Apruebo Dignidad";"CAUQUENES";434;9;0,00122905388109063;0,533409384393333;0,00424929178470255;0,00226661211498583;30737;10196;0,249089976302739
"Apruebo Dignidad";"CERRILLOS";2554,144;8;0,00723313501397314;18,4744683971294;0,00377714825306893;0,0697808060325946;38909;18309;0,319986717466532
"Apruebo Dignidad";"CERRO NAVIA";1453,718;7;0,00411681509196154;5,98468820185614;0,00330500472143532;0,0197794227634528;80193;36766;0,31434947289221
"Apruebo Dignidad";"CHANARAL";701;3;0,00198517689088602;1,3916090005111;0,00141643059490085;0,00197111756446331;9052;1615;0,151401518702541
"Apruebo Dignidad";"CHANCO";428;5;0,00121206235278062;0,518762686990105;0,00236071765816808;0,00122465223557626;5328;3744;0,412698412698413
"Apruebo Dignidad";"CHEPICA";994;6;0,00281492985669144;2,79804027755129;0,0028328611898017;0,00792645970977703;8388;3882;0,31638141809291
"Apruebo Dignidad";"CHIGUAYANTE";1793,577;8;0,00507926906194674;9,11006016631925;0,00377714825306893;0,0344100478425656;122986;23765;0,161940974848553
"Apruebo Dignidad";"CHILE CHICO";303;5;0,000858072179655439;0,259995870435598;0,00236071765816808;0,000613776842388097;4164;1072;0,204736440030558
"Apruebo Dignidad";"CHILLAN";1804,308;6;0,00510965841032919;9,21939754702425;0,0028328611898017;0,026117273504318;142414;26429;0,156530030857068
"Apruebo Dignidad";"CHILLAN VIEJO";882;6;0,00249775466157128;2,20301961150587;0,0028328611898017;0,00624084875780699;25226;7096;0,219540869995669
"Apruebo Dignidad";"CHIMBARONGO";882;6;0,00249775466157128;2,20301961150587;0,0028328611898017;0,00624084875780699;25839;6365;0,197646255123587
"Apruebo Dignidad";"CHOLCHOL";211;5;0,000597535412235306;0,126079971981649;0,00236071765816808;0,000297639216198417;4187;5970;0,587771979915329
"Apruebo Dignidad";"CHONCHI";316;6;0,000894887157660458;0,282784341820705;0,0028328611898017;0,000801088787027492;10763;4264;0,283755906035802
"Apruebo Dignidad";"CISNES";241;5;0,000682493053785349;0,164480825962269;0,00236071765816808;0,0003882927902792;4281;773;0,152948159873368
"Apruebo Dignidad";"COBQUECURA";579;6;0,00163968248191584;0,94937615702927;0,0028328611898017;0,0026894508697713;2245;2064;0,478997447203527
"Apruebo Dignidad";"COCHRANE";206;6;0,000583375805310298;0,120175415893921;0,0028328611898017;0,000340440271654168;1993;411;0,170965058236273
"Apruebo Dignidad";"CODEGUA";555;6;0,0015717163686758;0,872302584615071;0,0028328611898017;0,00247111213771975;11831;1336;0,101465785676312
"Apruebo Dignidad";"COELEMU";628;6;0,00177844662978091;1,11686448350241;0,0028328611898017;0,0031639220495819;10199;3521;0,256632653061225
"Apruebo Dignidad";"COIHUECO";1252;6;0,00354556557402181;4,43904809867531;0,0028328611898017;0,0125752070784003;16938;4378;0,20538562582098
"Apruebo Dignidad";"COINCO";312;6;0,000883559472120452;0,275670555301581;0,0028328611898017;0,000780936417284932;4916;2078;0,297111810122963
"Apruebo Dignidad";"COLBUN";1123;5;0,00318024771535663;3,57141818434549;0,00236071765816808;0,008431109972487;12302;5420;0,305834555919197
"Apruebo Dignidad";"COLINA";2401,621;8;0,00680120186856856;16,3339092327935;0,00377714825306893;0,0616955967244325;95039;24386;0,204195101528156
"Apruebo Dignidad";"COLLIPULLI";307;1;0,000869399865195445;0,266905758615001;0,000472143531633617;0,000126017827485836;13598;6022;0,306931702344546
"Apruebo Dignidad";"COLTAUCO";336;6;0,000951525585360487;0,319712596681124;0,0028328611898017;0,000905701407028679;14757;2835;0,161152796725784
"Apruebo Dignidad";"COMBARBALA";336;6;0,000951525585360487;0,319712596681124;0,0028328611898017;0,000905701407028679;7966;3057;0,277329220720312
"Apruebo Dignidad";"CONCEPCION";2724,344;8;0,00771512803370039;21,0186627678434;0,00377714825306893;0,0793906053554049;194481;24505;0,111902130729818
"Apruebo Dignidad";"CONCHALI";2724,344;8;0,00771512803370039;21,0186627678434;0,00377714825306893;0,0793906053554049;63130;25494;0,287664740927965
"Apruebo Dignidad";"CONCON";2311,452;7;0,00654585034920437;15,1304188813691;0,00330500472143532;0,050006105840219;63924;14147;0,181206850174841
"Apruebo Dignidad";"CONSTITUCION";1159,169;8;0,00328267547993074;3,80517565339584;0,00377714825306893;0,0143727125718445;46139;10135;0,180100934712301
"Apruebo Dignidad";"CONTULMO";377;5;0,00106763436214555;0,402498154528871;0,00236071765816808;0,000950184500776371;3391;980;0,224204987417067
"Apruebo Dignidad";"COPIAPO";586,393;3;0,00166061887671515;0,97377528497363;0,00141643059490085;0,00137928510619494;132085;31579;0,192950190634471
"Apruebo Dignidad";"COQUIMBO";840,712;6;0,00238083029142734;2,00159259596646;0,0028328611898017;0,00567023398290782;192313;38204;0,165731811536676
"Apruebo Dignidad";"CORONEL";2835,775;8;0,00803069186555248;22,7732352250371;0,00377714825306893;0,0860178856469767;98649;15205;0,133548228432905
"Apruebo Dignidad";"CORRAL";254;6;0,000719308031790368;0,182704240074753;0,0028328611898017;0,000517575750919981;3287;1112;0,252784723800864
"Apruebo Dignidad";"CUNCO";568;5;0,00160853134668082;0,913645804914707;0,00236071765816808;0,00215685978497334;12256;4438;0,265844015814065
"Apruebo Dignidad";"CURACAUTIN";130;1;0,000368149780050188;0,0478594714065245;0,000472143531633617;2,25965398519946e-05;11519;2401;0,172485632183908
"Apruebo Dignidad";"CURACAVI";2742;6;0,00776512843767397;21,291982176102;0,0028328611898017;0,060317229960629;26183;5015;0,160747483813065
"Apruebo Dignidad";"CURACO DE VELEZ";74;6;0,000209562182490107;0,0155076015042679;0,0028328611898017;4,39308824483511e-05;3249;873;0,2117903930131
"Apruebo Dignidad";"CURANILAHUE";1302,854;5;0,00368958010413468;4,80698419699228;0,00236071765816808;0,0113479324763746;25250;2851;0,101455464218355
"Apruebo Dignidad";"CURARREHUE";199;5;0,000563552355615288;0,112146918767442;0,00236071765816808;0,000264747211443443;4285;3240;0,430564784053156
"Apruebo Dignidad";"CUREPTO";313,144;8;0,000886799190184894;0,277695845611258;0,00377714825306893;0,00104889837813506;6191;2152;0,257940788685125
"Apruebo Dignidad";"CURICO";2711,489;8;0,00767872368429619;20,8207748040086;0,00377714825306893;0,0786431531785027;123665;19162;0,13416230824704
"Apruebo Dignidad";"DALCAHUE";263;6;0,000744795324255381;0,195881170279165;0,0028328611898017;0,000554904165096785;14640;3315;0,184628237259816
"Apruebo Dignidad";"DIEGO DE ALMAGRO";369,42;3;0,00104616839804724;0,38647552960661;0,00141643059490085;0,000547415764315311;6833;961;0,123299974339235
